(-758.7385, -77.08, 0.0)|(-767.4993, -85.9257, 0.0);(-756.9629, -50.8127, 0.0);(-735.1053, -75.9365, 0.0);(-723.5578, -28.2033, 0.0)
(918.9019, 390.518, 0.0)|(900.3338, 362.9948, 0.0);(955.9156, 431.3504, 0.0);(944.0712, 444.1513, 0.0);(828.811, 454.824, 0.0)
(900.3338, 362.9948, 0.0)|(918.9019, 390.518, 0.0);(884.3817, 339.442, 0.0);(864.2774, 387.8658, 0.0);(878.9271, 353.021, 0.0)
(-134.2139, 327.7689, 0.0)|(-144.5443, 320.368, 0.0);(-110.5028, 379.2101, 0.0)
(-110.5028, 379.2101, 0.0)|(-134.2139, 327.7689, 0.0)
(-150.1882, 303.2475, 0.0)|(-184.1295, 253.4743, 0.0);(-124.8074, 285.8253, 0.0);(-326.5406, 411.9268, 0.0)
(-184.1295, 253.4743, 0.0)|(-150.1882, 303.2475, 0.0)
(-344.7079, 172.6213, 0.0)|(-371.9589, 152.9441, 0.0);(-355.1497, 144.1617, 0.0);(-365.7807, 181.1179, 0.0);(-333.8431, 162.2665, 0.0);(-318.0692, 234.3687, 0.0)
(-3.4246, 483.5228, 0.0)|(-32.1228, 442.0072, 0.0)
(-35.2954, 539.1895, 0.0)|(-47.1732, 520.5757, 0.0);(-8.6455, 571.2397, 0.0);(-39.3251, 554.8652, 0.0)
(-528.2515, -242.027, 0.0)|(-487.965, -279.1958, 0.0);(-540.2294, -232.0142, 0.0)
(-594.8428, -175.5578, 0.0)|(-532.9603, -221.8028, 0.0);(-528.4185, -49.7486, 0.0)
(-1113.0573, -888.5648, 0.0)|(-1162.0935, -885.0237, 0.0);(-1065.8578, -926.9299, 0.0)
(-1162.0935, -885.0237, 0.0)|(-1113.0573, -888.5648, 0.0);(-1282.9865, -942.5077, 0.0)
(-1282.9865, -942.5077, 0.0)|(-1162.0935, -885.0237, 0.0);(-1331.4662, -1004.4852, 0.0)
(-1331.4662, -1004.4852, 0.0)|(-1282.9865, -942.5077, 0.0)
(1276.7495, -528.0745, 0.0)|(1249.2424, -568.7596, 0.0);(1304.7241, -497.0921, 0.0);(1162.0126, -453.1036, 0.0)
(-955.3398, 279.2899, 0.0)|(-1069.7234, 116.5399, 0.0);(-922.9681, 254.7925, 0.0);(-950.3556, 294.721, 0.0);(-1051.3196, 108.3173, 0.0)
(-922.9681, 254.7925, 0.0)|(-934.8014, 244.0089, 0.0);(-865.5718, 219.17, 0.0);(-909.6766, 261.701, 0.0);(-955.3398, 279.2899, 0.0);(-950.3556, 294.721, 0.0)
(-958.4679, -93.6915, 0.0)|(-967.2065, -84.8934, 0.0);(-944.3081, -84.6076, 0.0);(-949.0113, -105.8524, 0.0)
(-1102.507, -19.376, 0.0)|(-1072.0917, 33.5481, 0.0);(-1127.334, -9.2517, 0.0)
(-1072.0917, 33.5481, 0.0)|(-1102.507, -19.376, 0.0);(-1025.7584, 99.0077, 0.0)
(-956.2972, 247.7887, 0.0)|(-934.8014, 244.0089, 0.0);(-984.0825, 185.7553, 0.0);(-1025.7584, 99.0077, 0.0)
(-934.8014, 244.0089, 0.0)|(-956.2972, 247.7887, 0.0);(-922.9681, 254.7925, 0.0)
(969.0068, -479.0838, 0.0)|(1097.7032, -394.473, 0.0);(849.7502, -572.6979, 0.0);(1094.2635, -371.6051, 0.0)
(1371.1595, 149.5614, 0.0)|(1370.8535, 170.8267, 0.0);(1384.0726, 146.2104, 0.0);(1357.7791, 166.2528, 0.0);(1479.8965, 70.8612, 0.0);(1316.8218, 188.9991, 0.0)
(1479.8965, 70.8612, 0.0)|(1288.7594, 176.7286, 0.0);(1371.1595, 149.5614, 0.0);(1384.0726, 146.2104, 0.0)
(1093.4175, 353.5054, 0.0)|(1087.7401, 335.2016, 0.0);(1101.2877, 367.7117, 0.0);(1117.5604, 320.981, 0.0);(959.3554, 450.4088, 0.0);(1081.4618, 346.9859, 0.0)
(959.3554, 450.4088, 0.0)|(937.3809, 465.4967, 0.0);(955.9156, 431.3504, 0.0);(976.3316, 457.1269, 0.0);(1093.4175, 353.5054, 0.0)
(937.3809, 465.4967, 0.0)|(959.3554, 450.4088, 0.0);(908.705, 485.1904, 0.0);(945.062, 478.1547, 0.0)
(409.6264, 837.1118, 0.0)|(400.3423, 847.9914, 0.0);(416.4948, 847.1655, 0.0);(399.3516, 821.658, 0.0);(418.5764, 817.3299, 0.0)
(400.3423, 847.9914, 0.0)|(409.6264, 837.1118, 0.0);(408.0679, 858.6011, 0.0);(391.5147, 836.0953, 0.0);(344.4043, 899.7374, 0.0)
(86.5438, -1006.0573, 0.0)|(-74.8917, -895.0278, 0.0)
(-74.8917, -895.0278, 0.0)|(-33.7703, -857.0755, 0.0);(86.5438, -1006.0573, 0.0);(-96.8829, -902.7056, 0.0);(-70.6838, -872.6534, 0.0)
(-626.8555, -817.3842, 0.0)|(-654.3987, -781.7341, 0.0);(-652.7846, -848.564, 0.0);(-583.8945, -840.4415, 0.0);(-519.9637, -701.8504, 0.0);(-731.3316, -730.339, 0.0);(-727.4466, -922.9362, 0.0);(-578.6013, -776.5494, 0.0);(-529.2311, -905.6512, 0.0)
(134.3722, -766.025, 0.0)|(101.8725, -788.8085, 0.0);(81.0335, -840.9576, 0.0);(175.2988, -801.4012, 0.0);(144.0403, -740.6848, 0.0);(152.4115, -752.3008, 0.0)
(175.2988, -801.4012, 0.0)|(184.9168, -809.2141, 0.0);(189.4364, -798.7175, 0.0);(134.3722, -766.025, 0.0)
(184.9168, -809.2141, 0.0)|(131.1662, -882.3876, 0.0);(175.2988, -801.4012, 0.0)
(109.8096, -899.7281, 0.0)|(131.1662, -882.3876, 0.0);(58.3967, -861.7679, 0.0)
(84.5734, -674.3542, 0.0)|(128.0437, -630.0728, 0.0);(116.0657, -619.5284, 0.0);(84.0725, -694.5933, 0.0);(69.857, -683.8743, 0.0);(136.5819, -724.1776, 0.0);(38.1254, -634.7812, 0.0);(44.9994, -648.2396, 0.0);(161.5472, -733.5202, 0.0)
(76.013, -763.5756, 0.0)|(35.0919, -812.39, 0.0);(101.8725, -788.8085, 0.0);(49.8529, -738.803, 0.0)
(1043.0287, 232.3915, 0.0)|(1018.8156, 243.2878, 0.0);(1093.3953, 310.0767, 0.0);(1041.7225, 214.0615, 0.0);(1059.465, 230.3348, 0.0)
(1101.1096, 186.1682, 0.0)|(1143.4612, 165.0696, 0.0);(1118.9763, 192.9893, 0.0);(1041.7225, 214.0615, 0.0)
(1143.4612, 165.0696, 0.0)|(1101.1096, 186.1682, 0.0);(1156.0569, 149.4026, 0.0);(1174.7809, 213.0556, 0.0);(1195.606, 140.9735, 0.0);(1118.9763, 192.9893, 0.0)
(1156.0569, 149.4026, 0.0)|(1176.228, 135.8557, 0.0);(1143.4612, 165.0696, 0.0);(1145.7042, 134.474, 0.0)
(1176.228, 135.8557, 0.0)|(1156.0569, 149.4026, 0.0);(1219.587, 106.221, 0.0);(1174.1353, 122.4677, 0.0)
(1388.2992, -69.2533, 0.0)|(1382.4696, -53.6872, 0.0);(1387.8464, -82.8448, 0.0);(1316.0509, -136.991, 0.0);(1473.7739, 15.6023, 0.0);(1350.6656, -90.4836, 0.0);(1249.1646, -232.2365, 0.0);(1417.6744, -65.1692, 0.0);(1421.6207, -80.812, 0.0)
(-579.7256, 927.8499, 0.0)|(-560.7011, 930.4944, 0.0);(-593.1174, 911.7924, 0.0);(-568.2263, 942.1921, 0.0);(-606.6761, 918.7968, 0.0)
(-622.6115, 904.5936, 0.0)|(-606.6761, 918.7968, 0.0);(-593.1174, 911.7924, 0.0);(-619.0436, 892.7172, 0.0);(-647.5581, 881.4722, 0.0);(-629.029, 884.3629, 0.0)
(-647.5581, 881.4722, 0.0)|(-629.029, 884.3629, 0.0);(-659.4749, 870.7116, 0.0);(-622.6115, 904.5936, 0.0)
(-659.4749, 870.7116, 0.0)|(-647.5581, 881.4722, 0.0);(-670.3676, 848.6227, 0.0)
(-686.4698, 835.3806, 0.0)|(-704.5092, 822.8968, 0.0);(-688.8521, 811.493, 0.0);(-670.3676, 848.6227, 0.0)
(-716.092, 782.9917, 0.0)|(-729.6952, 797.7069, 0.0);(-712.5242, 753.1981, 0.0);(-716.8044, 801.6617, 0.0);(-701.0082, 802.2494, 0.0);(-691.2009, 798.5646, 0.0)
(-712.5242, 753.1981, 0.0)|(-731.2537, 752.934, 0.0);(-716.092, 782.9917, 0.0);(-687.9031, 727.8278, 0.0);(-692.5256, 770.5954, 0.0)
(-640.4059, 735.3203, 0.0)|(-653.1742, 738.1791, 0.0);(-634.2388, 747.121, 0.0);(-651.2372, 725.2031, 0.0);(-615.9879, 740.2995, 0.0);(-632.1376, 716.5552, 0.0)
(-547.3873, 873.3243, 0.0)|(-537.6802, 887.9523, 0.0);(-546.3186, 852.7721, 0.0);(-550.7937, 888.3971, 0.0);(-564.653, 840.86, 0.0)
(-540.4187, 917.3672, 0.0)|(-548.5339, 902.2468, 0.0);(-534.9974, 906.424, 0.0);(-535.7043, 934.0283, 0.0)
(650.3882, -502.9996, 0.0)|(613.5526, -558.2311, 0.0);(660.2399, -488.0086, 0.0);(586.4017, -456.5099, 0.0);(667.7317, -500.2285, 0.0)
(513.198, -582.6389, 0.0)|(500.9974, -574.2701, 0.0);(548.7869, -513.4329, 0.0);(425.8828, -692.4813, 0.0);(549.388, -599.1384, 0.0);(568.3179, -615.6299, 0.0)
(128.0437, -630.0728, 0.0)|(160.3486, -657.5612, 0.0);(116.0657, -619.5284, 0.0);(84.5734, -674.3542, 0.0);(178.182, -567.5845, 0.0)
(190.0821, -682.6674, 0.0)|(160.3486, -657.5612, 0.0);(241.1777, -619.9254, 0.0);(216.3201, -662.2458, 0.0);(161.5472, -733.5202, 0.0);(198.6982, -694.4662, 0.0)
(188.4123, -579.5264, 0.0)|(178.182, -567.5845, 0.0);(204.1417, -573.222, 0.0);(209.5658, -593.7193, 0.0)
(152.8457, -548.2901, 0.0)|(139.1645, -536.9992, 0.0);(164.3227, -534.1884, 0.0);(162.9758, -560.9783, 0.0)
(139.1645, -536.9992, 0.0)|(152.8457, -548.2901, 0.0);(150.4969, -523.0723, 0.0);(136.4038, -522.6752, 0.0)
(164.7346, -480.5925, 0.0)|(154.0034, -487.5163, 0.0);(181.4325, -468.9204, 0.0);(209.0064, -506.4456, 0.0);(112.138, -437.2417, 0.0)
(-96.8829, -902.7056, 0.0)|(-144.4887, -863.8085, 0.0);(-74.8917, -895.0278, 0.0);(-70.6838, -872.6534, 0.0);(-230.0934, -1064.1122, 0.0)
(-144.4887, -863.8085, 0.0)|(-96.8829, -902.7056, 0.0);(-83.8752, -799.7736, 0.0);(-188.5267, -914.9885, 0.0)
(-188.5267, -914.9885, 0.0)|(-144.4887, -863.8085, 0.0)
