CAMERA;(22.743046, -25.152658, 7.215627);(79.333289, -0.000101, -318.866753);(83.974423, 0.100000, 100.000000);(960, 540);(1.709229, 1.709229)
OBJECT;5;(-0.000002, 2.604723, 14.772116);(2.000001, 2.316912, 2.316912);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000002, 0.000001, 15.000000);(2.000000, 2.000000, 2.000000);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000002, -2.604722, 14.772118);(2.000001, 2.316912, 2.316912);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000002, -5.130301, 14.095389);(2.000001, 2.563426, 2.563426);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000002, -7.499999, 12.990381);(2.000001, 2.732051, 2.732051);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000002, -9.641812, 11.490666);(2.000001, 2.817665, 2.817664);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000001, -11.490665, 9.641814);(2.000001, 2.817665, 2.817664);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000001, -12.990379, 7.500001);(2.000001, 2.732052, 2.732051);(0.000000, 0.000000, 0.000000)
OBJECT;5;(-0.000001, -14.095388, 5.130302);(2.000001, 2.563426, 2.563426);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000000, -14.772116, 2.604725);(2.000001, 2.316913, 2.316913);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000000, -15.000001, 0.000002);(2.000001, 2.000001, 2.000001);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000000, -14.772116, -2.604720);(2.000001, 2.316913, 2.316913);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000001, -14.095389, -5.130301);(2.000001, 2.563426, 2.563427);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000001, -12.990381, -7.499999);(2.000001, 2.732051, 2.732052);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000001, -11.490666, -9.641812);(2.000001, 2.817665, 2.817665);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000002, -9.641815, -11.490664);(2.000001, 2.817665, 2.817665);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000002, -7.500001, -12.990379);(2.000001, 2.732051, 2.732052);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000002, -5.130304, -14.095388);(2.000001, 2.563426, 2.563427);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000002, -2.604726, -14.772117);(2.000001, 2.316912, 2.316913);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000002, -0.000003, -14.999999);(2.000001, 2.000000, 2.000001);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000002, 2.604720, -14.772116);(2.000001, 2.316912, 2.316913);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000002, 5.130301, -14.095389);(2.000001, 2.563426, 2.563426);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000002, 7.499999, -12.990381);(2.000001, 2.732052, 2.732052);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000002, 9.641811, -11.490667);(2.000001, 2.817665, 2.817665);(0.000000, 0.000000, 0.000000)
OBJECT;5;(0.000001, 11.490663, -9.641816);(2.000001, 2.817665, 2.817664);(0.000000, 0.000000, 0.000000)
